word,meaning,memory_count,sentence
draft,"도안, 초고, 초안을 작성하다",0,
lame,"다리를 저는, 불충분한, 설득력이 없는",0,
tailor-made,"맞춘, 안성맞춤의",0,
forefather,"조상, 선조",0,
cosset,애지중지하다,0,
paranoia,편집증,0,
inborn,"타고난, 천부적인",0,
malingerer,꾀병을 부리는 사람,0,
obtuse,둔한,0,
garland,"화환, 화환으로 장식하다",0,
moody,"기분 변화가 심한, 침울한",0,
spangle,번쩍이게 하다,0,
downfall,"낙하, 추락, 쏟아짐",0,
applicable,"적용할 수 있는, 적절한",0,
vengeance,복수,0,
jockey,"운전사, 조종사, 운전하다, 조종하다",0,
pertain,"속하다, 부속하다, 적합하다",0,
clamor,"소란, 시끄러움",0,
disconsolate,"우울한, 슬픈",0,
bombshell,"폭탄, 폭탄선언",0,
undue,"지나친, 과도한, 심한",0,
atheist,무신론자,0,
premier,"수상, 최초의",0,
blackmail,"협박하다, 공갈",0,
halcyon,"평온한, 화려한",0,
caprice,변덕,0,
refrigerate,냉각하다,0,
encapsulate,요약하다,0,
pessimistic,비관적인,0,
woo,"구애하다, 지지를 호소하다",0,"wooing 구애, 구혼"
eponymous,이름이 시조가 되는,0,Isabella Rose Taylor is the same as other teenagers who try to follow the latest fashion except that she has her own eponymous clothing line.
timber,목재,0,"lumber, wood"
impervious,"무감각한, 둔한, 통과시키지 않는",0,
sentinel,"보초, 감시",0,
coin,"(화폐를) 주조하다, (새로운 표현을) 만들어 내다",0,
emblem,상징,0,
amass,모으다,0,
valid,"확실한, 유효한",0,
toll,"희생, 사망자 수, 통행료",0,
screen,"선발하다, 보호하다",0,
palatial,"대궐 같은, 으리으리한",0,
red tape,"관료적 형식주의, 공무원식",0,
blithe,"쾌활한, 즐거운, 부주의한",0,
obstetrician,산부인과 의사,0,
centennial,"100주년의, 100주년",0,
ferocious,"사나운, 모진",0,
sentiment,"감정, 감상",0,
recumbent,누워 있는,0,
apostle,"선구자, 사도(예수의 12제자의 한 사람)",0,
liberate,자유롭게 하다,0,
trance,"꿈결, 최면 상태",0,
hazy,흐릿한,0,
mediocre,보통의,0,
procession,"행진, 진행",0,
caliber,"지름, 능력, 품질",0,
versatile,"다재다능한, 다용도의",0,
perplex,당황스럽게하다,0,
hurl,집어던지다,0,
antipathy,"반감, 혐오",0,
bent,"소질, 경향, 성향, 굽은, 열중하여",0,
sartorial,"의상의, 바느질의",0,
dread,"두려워하다, 무서워하다, 공포",0,
errand,"심부름, 볼일, 사명",0,
skittish,"겁이 많은, 변덕스러운",0,
corrupt,"타락한, 부패한, 썩은, 부패하다",0,
acoustic,"소리의, 청각의",0,
denotation,"명시적 의미, 원뜻",0,"The denotation of slender and skinny is thin, but slender connotes approval and shinny, disapproval."
unflagging,지칠 줄 모르는,0,
inexhaustible,"고갈될 줄 모르는, 지칠 줄 모르는, 끈기 있는",0,
embroil,(분쟁에) 끌어들이다,0,
topography,지형학,0,
pageant,"구경거리, 행렬",0,
fowl,닭,0,
calumniate,"중상하다, 비방하다",0,
dodge,"몸을 피하다, 교묘히 피하다",0,
hermetic,"밀봉된, 난해한",0,
bankruptcy,파산,0,
gale,"폭풍, 폭발",0,
obscure,모호한,0,
credo,신조,0,
rash,"경솔한, 성급한, 발진",0,
depreciate,가치가 떨어지다,0,
metastasis,"전이, 변질",0,
saturate,"흠뻑 적시다, 채우다",0,
laissez-faire,방임주의의,0,
pernicious,유해한,0,
victual,"음식, 식량을 공급하다",0,
utterly,"아주, 전혀, 완전히",0,
thrall,노예,0,
swift,"신속한, 갑작스러운",0,
pending,임박한,0,
bemoan,한탄하다,0,
somnolent,"졸린, 졸리게 하는",0,
recede,물러나다,0,
amiable,상냥한,0,
impair,손상시키다,0,
maritime,"바다의, 해양의",0,
nonpareil,"더할 나위 없는, 최상급품",0,
pirate,"해적선, 표절자",0,
elapse,"지나다, 경과하다",0,
sheer,순전한,0,
watchword,"표어, 슬로건",0,
compute,계산하다,0,
pathos,"연민의 정을 자아내는 힘, 비애감",0,
indispensable,필수적인,0,
ensconce,숨기다,0,
paramount,최고의,0,
tenure,재임,0,
hardwired,"하드웨어에 내장된, 원래 갖추고 있는(선천적인)",0,
colony,식민지,0,
starry-eyed,"공상적인, 이상적인, 비현실적인",0,
throb,"고동치다, 욱신거리다",0,
impulse,충동,0,
elated,"의기양양한, 우쭐대는",0,
penitentiary,교도소,0,
sanguinary,잔인한,0,
anarchy,"무정부상태, 무질서",0,
crisscross,동분서주하다,0,
outright,"솔직한, 완전한",0,
shiver,"떨다, 떨림",0,
dictator,독재자,0,
repellent,혐오감을 주는,0,
acclimate,순응시키다,0,
canine,개의,0,
teem,풍부하다,0,
kickback,"가로채기, 반환, 반동",0,
retard,지체시키다,0,
germinate,싹트다,0,
filial,"자식의, 효성스러운",0,
infectious,전염성이 있는,0,
ooze,"스며나오다, 새다",0,
rancor,증오,0,
hegemony,"패권, 주도권",0,
cognizant,"인식하고 있는, 알고 있는",0,
sortition,제비뽑기,0,
bespeak,"~을 나타내다, 보이다, 예약하다",0,
vogue,"유행, 인기",0,
impecunious,"가난한, 돈이 없는",0,
pier,"부두, 방파제",0,
deduce,추론하다,0,
alien,"이국의, 외국의",0,
magnate,"거물, 유력자",0,
perverse,심술궂은,0,
well-to-do,"부유한, 유복한",0,
anachronism,"시대착오, 시대착오적인 사람",0,
reconcile,"화해시키다, 조화시키다",0,
loquacious,말이 많은,0,
congenial,마음이 맞는,0,
elongate,"길어지다, 길게 늘이다",0,
litigious,소송하는,0,
figment,"허구, 꾸며낸 것",0,
torso,몸통,0,
avert,"돌리다, 피하다",0,
omnipotent,전능한,0,
raze,파괴하다,0,
longevity,"장수, 수명",0,
degrade,"강등시키다, 품위를 떨어뜨리다",0,
panegyric,"찬사, 칭찬의 말",0,
meager,"빈약한, 야윈",0,
bishop,주교(카톨릭 교회에서의 지위),0,
compartment,칸막이,0,
vainglorious,자만심이 강한,0,
dimension,"치수, 크기, 규모, 차원, 중요성",0,
lavish,"아낌없는, 사치스러운, 아낌없이 주다",0,
condign,"당연한, 적절한",0,
hypocrisy,위선,0,
castigate,"징계하다, 혹평하다",0,
outrun,"~보다 멀리 달리다, 앞지르다, 초과하다",0,
tawdry,"값싸고 번지르르한, 저속한",0,
preach,"설교하다, 훈계하다",0,
gizmo,간단한 장치,0,
decree,법령,0,
emblazon,"꾸미다, 장식하다",0,
newfangled,"신형의, 새것을 좋아하는",0,
crude,"천연 그대로의, 미완성인, 원유, 원료",0,
autism,자폐증,0,
snug,"포근한, 아늑한, 꼭 맞는",0,
relate,"관련시키다, 이야기하다, 말하다",0,
phony,"가짜의, 허위의",0,
sought-after,"필요로 하고 있는, 수요가 많은, 인기 있는",0,
jest,"농담, 농담하다",0,
accessory,방조자,0,accomplice
accessory,"액세서리, 보조적인, 부속의",0,
sue,소송을 제기하다,0,
finagle,"속이다, 속임수를 쓰다",0,
petition,"청원, 청원하다, 탄원하다",0,
shimmer,희미하게 반짝이다,0,
earthly,"지구의, 속세의",0,
martyr,"순교자, 희생자",0,
inclement,"험악한, 냉혹한, 혹독한",0,
bewilder,당황하게 하다,0,
neurotic,"신경증의, 아주 신경질적인",0,
remuneration,"보상, 보수, 급료",0,
spree,"흥청망청 놀기, 술잔치",0,
consecrate,봉헌하다,0,
grieve,비통해하다,0,
culminate,"최고점에 달하다, ~로 끝나다",0,
vicarious,"대리의, 간접적인",0,
implore,"애원하다, 탄원하다",0,
rabid,"과격한, 난폭한",0,
idiosyncrasy,개성,0,
dawdle,"꾸물거리다, (시간을) 헛되이 보내다",0,
laconic,간결한,0,
conciliatory,"달래는듯한, 회유적인",0,
civilize,"개화하다, 교화하다",0,
profuse,"풍부한, 아낌없는",0,
remorse,"후회, 양심의 가책",0,
track,뒤쫓다,0,
peremptory,"단호한, 독단적인",0,
flip-flop,"돌변, 방향을 바꾸다",0,
cluster,"송이, 다발, 떼, 밀집하다",0,
bedizen,"현란하게 꾸미다, 치장하다",0,
cannibalism,"동족끼리 서로 잡아먹음, 사람 고기를 먹는 풍습, 중소기업의 흡수 합병",0,
maneuver,"교묘하게 유도하다, 기동시키다, 계략",0,
taxing,아주 힘든,0,
harnague,열변,0,
distress,괴롭히다,0,
lateral,"옆의, 측면의",0,
chart,"도표, 지도로 만들다",0,
dependable,믿을 수 있는,0,
arsenal,"무기 공장, 비축, 창고",0,
urge,"재촉하다, 강제하다, 충동",0,
ward,"병동, 감방, 막다, 피하다",0,
conservative,"보수적인, 조심스러운, 보수주의자",0,
garble,"왜곡하다, 혼동하다",0,
deliberate,"고의의, 숙고하다",0,
bucolic,목가적인,0,
pith,"요점, 체력, 힘",0,
entrench,"자신의 입장을 굳히다, 확고하게 하다",0,
stammer,말을 더듬다,0,
visage,"얼굴 생김새, 외관",0,
solitary,"혼자의, 고립된, 유일한",0,
incur,초래하다,0,
exempt,면제하다,0,
paucity,"소량, 결핍",0,
restore,복구하다,0,
comely,"잘생긴, 아름다운",0,
affirm,"확언하다, 단언하다",0,
headstrong,완고한,0,
microscope,현미경,0,
showdown,"결전, 폭로",0,
relentless,"냉혹한, 끊임없는, 끈질긴",0,
offset,상쇄하다,0,
imposing,"인상적인, 위압적인",0,
slander,"비방하다, 명예를 훼손하다, 비방",0,
ecstasy,황홀경,0,
acerbate,"화나게 하다, 짜증나게 하다",0,
burnish,"닦다, 빛나게 하다",0,
incendiary,"방화의, 선동적인",0,
enamor,"반하게 하다, 매혹하다",0,
topple,"넘어지다, 넘어뜨리다",0,
catalyst,촉매,0,
slovenly,"추접스러운, 단정치 못한",0,
ambush,"매복하다, 매복하여 습격하다",0,
equinox,"춘분, 추분",0,
crumble,무너지다,0,
conglomerate,"대기업, 집합체",0,
gallantly,"용감하게, 씩씩하게, 당당하게",0,
reassure,안심시키다,0,
transcribe,기록하다,0,
outer,외곽의,0,
Constantinople,(지역이름) 콘스탄티노플,0,
handcrafting,손으로 만들다,0,
smuggle,밀수하다,0,
hoard,"저장하다, 비축하다",0,
fringe,주변부,0,
distribution,유통,0,
in effect,실제로는,0,
subsidiary,부수적인,0,
mercantile,무역의,0,
avaricious,탐욕스러운,0,
reprimand,질책하다,0,
reverberate,"울리다, 반향을 일으키다",0,
ailing,"병든, 악화된",0,
resuscitate,소생시키다,0,
schemer,책략가,0,
peg,~을 ~로 생각하다,0,
cradle,부드럽게 안다,0,
bolster,개선하다,0,
blight,말라죽다,0,
wither,시들다,0,
progressive,진보적인,0,
stump,터벅터벅 걸어가다,0,
permeate,스며들다,0,
liberal,자유로운,0,
egalitarian,평등주의의,0,
Raj,영국의 인도 통치,0,
the masses,대중,0,
literary,문학의,0,
conversion to,~로의 전환,0,
dissent from,~와 다른 반대의견,0,
reiteration of,~의 반복,0,
established,"확립된, 기성의",0,
dissent,반대,0,
overarching,무엇보다 중요한,0,
rebellion,저항,0,
idealism,관념론,0,
paltry,보잘 것 없는,0,
nihilistic,허무주의의,0,
relentless,냉혹한,0,
sedate,차분한,0,
indolent,게으른,0,
make a dash,돌진하다,0,
hatchling,갓 부화한 동물,0,
dismantle,"분해하다, 해체하다, 폐지하다",0,
insignificant,"무의미한, 하찮은, 사소한, 무가치한",0,
patrician,"귀족, 문벌가",0,
lousy,"불결한, 더러운",0,
abolish,폐지하다,0,
sedative,"가라앉히는, 진정제",0,
osteoporosis,골다공증,0,
slippery,"미끄러운, 파악할 수 없는, 교활한",0,
feud,"불화, 반목하다",0,
variegated,"잡색의, 얼룩덜룩한",0,
contend,"다투다, 싸우다, 주장하다",0,
annuity,연금,0,
conscience,양심,0,
tackle,"달려들다, ~와 맞붙다",0,
qualm,"불안한 마음, 주저함, 불안, 현기증",0,
rebate,"환불, 할인",0,
astound,크게 놀라게 하다,0,
tremendous,엄청난,0,
reiterate,"반복하다, 되풀이하다",0,there is no need to reiterate the value of this book
chest,"가슴, 궤",0,
wobble,"흔들리다, 비틀거림",0,
enlist,"입대하다, 징집하다, (도움을) 얻다",0,
placate,"달래다, 회유하다",0,
mind-boggling,아주 놀라운,0,
bestow,"주다, 수여하다",0,
humanity,"인류, 인간, 인간성, 인간애, 자선 행위, 인문학",0,
obedient,"순종하는, 고분고분한",0,
electorate,"선거민, 유권자",0,
stout,뚱뚱한,0,
fabric,"직물, 구조, 구성",0,
penurious,"몹시 인색한, 가난한",0,
antonym,반의어,0,
spawn,"(알을) 낳다, 야기하다(cause)",0,
deride,"비웃다, 조소하다",0,
manacle,"수갑, 구속, 속박, 수갑을 채우다",0,
solemn,"엄숙한, 근엄한",0,
ignominious,"불명예스러운, 수치스러운",0,
undergo,"받다, 겪다, 견디다",0,
correspondence,"일치, 조화, 불합",0,
torpid,"무기력한, 휴면하고 있는",0,
sketchy,"개략적인, 대강의, 불완전한",0,
accouter,"갖추다, 착용시키다",0,
makeshift,일시적인,0,
bribe,"뇌물, 뇌물을 주다",0,
fictitious,"거짓의, 허구의",0,
indecision,"우유부단, 주저",0,
disrupt,"방해하다, 붕괴시키다",0,
hauteur,"오만, 거만",0,
wager,"(돈을) 걸다, 보증하다",0,
fetish,패티쉬,0,
radius,"반지름, 범위",0,
compulsive,강박적인,0,
upshot,"결말, 요지, 요점",0,
petty,"사소한, 마음이 좁은",0,
emigrate,이주를 가다,0,
carnivore,육식동물,0,
apparatus,"장치, 기관, 조직",0,
novelty,"신기함, 새로움",0,
sag,"축 처지다, 떨어지다, 기운이 빠지다",0,
plural,복수의,0,
ballyhoo,"요란한 선전, 야단법석, 요란스레 선전하다",0,
slumber,잠,0,
concomitant,동반하는,0,
scathing,"냉혹한, 가차 없는",0,
deem,"여기다, 간주하다",0,
organism,유기체,0,
attain,"이르다, 달성하다",0,
penitent,참회하는,0,
shatter,"해치다, 부서지다, 파편",0,
tantrum,"언짢은 기분, 짜증",0,
imperceptible,"감지할 수 없는, 알 수 없는",0,
harass,"괴롭히다, 애먹이다",0,
dissolute,방탕한,0,
project,"계획하다, 설계하다, 돌출하다",0,
meritocracy,"실력주의, 능력 사회",0,
engross,"빼앗다, 몰두시키다",0,
secular,"세속의, 현세의",0,
repercussion,"(사건, 행동의 간접적인) 영향",0,
genetic,"유전의, 유전학의",0,
orifice,구멍,0,
miscegenation,"서로 다른 종족의 혼합, 결혼",0,
jettison,"짐을 버리다, 버리다",0,
masquerade,"허구, 은폐",0,
rendition,"공연, 연출, 번역",0,
recusant,반항적인,0,
kitsch,저속한 작품,0,
concatenate,"사슬모양으로 잇다, 연결시키다",0,
grudging,마지못해 하는,0,
disclaim,"부인하다, 거부하다, 포기하다",0,
infidel,"이단의, 무신론자",0,
brawl,"말다툼, 말다툼하다, 싸움을 벌이다",0,
concede,"인정하다, 양보하다",0,
hiccup,"딸꾹질, 일시적 하락",0,
sanctimonious,위선적인,0,
tenor,"취지, 진로, 방침",0,
outward,"밖으로 향하는, 외부의",0,
valor,용기,0,
unassuming,겸손한,0,
labyrinth,미궁,0,
cadaverous,"시체의, 창백한",0,
actuate,"움직이다, 격려하다",0,
pronounce,"발음하다, 선언하다",0,
beholden,신세를 진,0,
occlude,"막다, 방해하다",0,
enduring,지속되는,0,
jeopardy,위험,0,
wizened,"시든, 주름 투성이의",0,
misconstrue,"잘못 해석하다, 오해하다",0,
perfidy,"배반, 불신",0,
assault,"폭행, 공격하다, 강간하다",0,
deadly,"죽음의, 치명적인, 몹시",0,
en route,도중에,0,
genteel,"품위 있는, 우아한",0,
segregate,"분리하다, 차별하다",0,
paroxysm,격발,0,
renowned,유명한,0,
specter,유령,0,
imprison,투옥하다,0,
preoccupation,"선입관, 몰두",0,
meticulous,꼼꼼한,0,
raven,"약탈하다, 큰 까마귀, 칠흑의",0,
mutant,"변화하고 있는, 돌연변이",0,
disquiet,"불안하게 하다, 걱정시키다, 불안",0,
armistice,"휴전, 정전",0,
confront,"직면하다, 대조하다",0,
tolerant,"관대한, 잘 견디는",0,
pastime,"기분 전한, 오락, 취미",0,
rathom,"깊이를 재다, 간파하다",0,
berserk,미쳐 날뛰는,0,
adjure,"명하다, 간청하다",0,
hitch,"얻어 타다, 편승하다, 묶다, 장애",0,
dearth,"부족, 결핍",0,
vulgar,"저속한, 속된, 통속적인",0,
effusive,"심정을 토로하는, 감정이 넘쳐나는 듯한",0,
quarry,"채석장, 원천, 출처, 캐내다, 채석하다",0,
sordid,"더러운, 비도덕적인",0,
exiguous,"부족한, 근소한, 빈약한",0,
levity,"경솔, 촐싹거림, 경솔한 행위",0,
ulterior,"나타나지 않은, 숨은",0,
cramp,"속박하다, 경련을 일으키다, 경련",0,
sensuous,"감각의, 관능적인",0,
malady,"병, 질병",0,
enthrall,"마음을 빼앗다, 매혹시키다, 노예로 하다",0,
vermin,"해충, 사회의 해충",0,
redeem,"상환하다, 회복하다, 메우다",0,
strait,"해협, 궁핍",0,
infamous,"악명 높은, 수치스러운",0,
filthy,"아주 더러운, 불결한, 상스러운, 외설스러운",0,
indigenous,"고유의, 원산의, 토착의",0,
sinewy,근육질의,0,
plunge,"급락하다, 착수하다, 갑자기 시작하다",0,
cremation,"(문서의) 소각, 화장",0,
portent,"조짐, 전조",0,
helm,"(배의) 키, 지도적인 지위, 지배",0,
stir,"휘젓다, 흥분시키다, 선동하다, 대소동, 동요",0,
omnibus,"많은 것을 포함하는, 총괄적인, 버스, 작품집",0,
